id,value
id_0,27.522022
id_1,62.585112
id_2,21.406733
id_3,29.546983
id_4,11.307968
id_5,37.161013
id_6,40.405775
id_7,17.500790
id_8,48.811314
id_9,34.234670
id_10,39.846053
id_11,59.247147
id_12,37.618514
id_13,42.382901
id_14,27.754575
id_15,13.719812
id_16,53.720497
id_17,23.498204
id_18,20.397656
id_19,20.728830
id_20,15.949581
id_21,29.321416
id_22,37.826691
id_23,10.455624
id_24,58.862686
id_25,45.199065
id_26,29.354917
id_27,10.362581
id_28,30.082299
id_29,36.610924
id_30,19.484712
id_31,12.854557
id_32,17.729195
id_33,7.575886
id_34,19.211193
id_35,40.168498
id_36,20.695240
id_37,29.428206
id_38,7.627296
id_39,60.732931
id_40,48.162921
id_41,17.850197
id_42,50.504160
id_43,19.261526
id_44,44.654732
id_45,52.099670
id_46,62.160676
id_47,41.023274
id_48,52.005509
id_49,42.595701
id_50,31.275494
id_51,25.814605
id_52,41.629025
id_53,26.214580
id_54,39.308643
id_55,40.762511
id_56,25.718122
id_57,22.936551
id_58,38.597181
id_59,32.187498
id_60,16.554404
id_61,24.381205
id_62,32.458181
id_63,55.656902
id_64,49.742757
id_65,27.493344
id_66,41.872434
id_67,55.356553
id_68,28.900247
id_69,39.438724
id_70,65.554428
id_71,53.932236
id_72,44.519186
id_73,12.513102
id_74,13.110843
id_75,36.645319
id_76,61.323600
id_77,4.388649
id_78,45.264173
id_79,41.100651
id_80,9.188997
id_81,23.294535
id_82,8.816609
id_83,34.777360
id_84,11.801325
id_85,6.669569
id_86,17.310175
id_87,12.949506
id_88,14.453009
id_89,29.036044
id_90,31.442290
id_91,12.451269
id_92,14.892148
id_93,8.707833
id_94,37.480332
id_95,17.334266
id_96,16.610874
id_97,9.926494
id_98,11.868279
id_99,5.255138
id_100,14.039044
id_101,19.456152
id_102,12.396483
id_103,6.608007
id_104,14.988425
id_105,37.993909
id_106,28.704348
id_107,9.124048
id_108,17.663656
id_109,17.426849
id_110,15.321897
id_111,18.547432
id_112,14.339800
id_113,29.450540
id_114,23.139674
id_115,16.432331
id_116,10.145260
id_117,45.604187
id_118,30.495287
id_119,2.724650
id_120,3.214912
id_121,12.664892
id_122,16.771638
id_123,16.522009
id_124,7.767992
id_125,27.344078
id_126,22.294848
id_127,14.621482
id_128,21.177416
id_129,19.216875
id_130,5.351888
id_131,37.211026
id_132,15.264072
id_133,27.607774
id_134,24.629529
id_135,21.735496
id_136,11.254087
id_137,20.880990
id_138,78.327350
id_139,64.641183
id_140,28.180441
id_141,18.246017
id_142,26.002249
id_143,9.348615
id_144,11.949761
id_145,11.694641
id_146,22.418410
id_147,8.657016
id_148,14.990640
id_149,17.999279
id_150,51.947183
id_151,22.660240
id_152,25.564014
id_153,16.631831
id_154,15.671302
id_155,28.709509
id_156,22.804963
id_157,35.127531
id_158,4.689548
id_159,20.922588
id_160,44.685803
id_161,19.735707
id_162,57.009933
id_163,20.492344
id_164,37.561239
id_165,25.426005
id_166,22.725379
id_167,2.300765
id_168,67.063466
id_169,19.383288
id_170,18.732316
id_171,68.827343
id_172,22.094869
id_173,3.590249
id_174,24.606634
id_175,3.526926
id_176,7.408832
id_177,19.867157
id_178,21.282586
id_179,22.184863
id_180,43.722072
id_181,28.227244
id_182,29.804245
id_183,13.583359
id_184,9.861889
id_185,42.253952
id_186,37.576998
id_187,34.087779
id_188,17.610192
id_189,22.780514
id_190,15.759342
id_191,15.930432
id_192,34.145877
id_193,78.254054
id_194,30.516803
id_195,12.634422
id_196,62.380083
id_197,16.142297
id_198,20.706050
id_199,24.559284
id_200,126.145398
id_201,27.371710
id_202,59.029379
id_203,6.369512
id_204,63.487109
id_205,36.518586
id_206,18.143357
id_207,15.146076
id_208,65.116440
id_209,14.938899
id_210,29.243317
id_211,73.260986
id_212,21.603729
id_213,116.989295
id_214,40.938272
id_215,84.389654
id_216,93.506617
id_217,71.579838
id_218,29.906956
id_219,19.995091
id_220,32.829682
id_221,56.364500
id_222,29.734774
id_223,40.852793
id_224,44.646650
id_225,9.033684
id_226,5.158793
id_227,70.341421
id_228,29.327759
id_229,2.884972
id_230,41.379855
id_231,16.320861
id_232,22.745334
id_233,9.388408
id_234,12.875021
id_235,23.095377
id_236,13.671491
id_237,1.454187
id_238,22.466456
id_239,2.039574
